stt,word,lucky_number
1,ân ái,25-75
2,ăn cá to,05-60
3,ăn cắp xe đạp,34
4,ăn chay,86-85
5,ăn chua,93-39
6,ăn chuối,34-64
7,ăn cỗ,93-67
8,ăn cơm,74-85
9,ăn củ đậu,38-39
10,ăn hàng,03-04-52-19
11,ăn hoa quả,84-68
12,ăn khoai,75-85-58
13,ăn mày,01
14,ăn no quá,95-79
15,ăn thịt mèo,19-91
16,ăn thịt người,83-85
17,ăn tiệc,83-87
18,ăn tiệm,26-56-21
19,ăn tôm,83-89
20,ăn trộm cá,63-78-87
21,ăn trộm xe máy,04
22,ăn trộm,01-90
23,ăn trưa,01-02-92
24,ảnh bà cụ,54-59
25,ánh chớp,53
26,anh em gặp nhau,01
27,áo bay,40-45
28,áo bu dông,08-06-56
29,áo của chồng,07-70
30,áo của phụ nữ,00-02
31,áo của vợ,09-19-91
32,áo dài nữ,64-46
33,ao hồ sông ngòi,38-93-54
34,áo hoa,22-33
35,áo len,34-84
36,áo lót,09-59
37,áo mưa,87-42-07-67
38,áo tây,00-04
39,áo thể thao,43-34
40,áo trẻ em,01-00-05
41,ao ước,25-52
42,áo vét,95-54-59
43,ba ba,76
44,ba bố con ăn no,19
45,bà chết sống lại,93-96
46,bà chửa,09-29-39
47,bà già trẻ em,14-41
48,bà vãi,36-76
49,bãi biển,25-93
50,bãi cá,95-83
51,bài có tứ quý,63-64
52,bãi tha ma,78-87
53,bàn ăn bầy đẹp,06
54,bàn ăn dọn sạch,42-46
55,bắn bị thương,48
56,bàn cờ,14-54-74-94
57,bắn cung tên,77-72
58,bán hàng,18-28-98
59,bạn hiền,38-83
60,bán nhẫn vàng,67
61,bàn thờ bị đổ,05-55
62,bàn thờ nghi ngút,89-98
63,bàn thờ,15-43-46-95
64,băng đạn,32
65,bằng lòng đồng ý,52-32
66,bánh dày,85
67,bánh mì đen,35-54
68,bánh ngọt,52-02
69,bánh pháo,34
70,bánh tẩm bột rán,53-65
71,bánh xe,82
72,bao diêm,65
73,bảo lãnh đỡ đầu,86
74,bảo vật,06-31-63-82
75,báo,26-62
76,bắp cải,50-52
77,bắp ngô,85-35-53
78,bắt bớ,05-19
79,bắt cá ở suối,45
80,bát đĩa,85-87
81,bắt được nhiều cá,23-65-08-56
82,bật lửa,07-70-75
83,bất lực,26-32
84,bát ngọc,30-70
85,bát nhang,02-52-24
86,bắt rận cho chó,93-83
87,bát,31-38
88,bẻ gẫy đập vỡ,96-04
89,bè gỗ,19-69
90,bẻ ngô,53-35
91,bể nước ăn,45-62-21
92,bể nước,62-81
93,bể nuôi cá cảnh,14-54
94,bến xe,58-98
95,bếp củi cháy to,96-21
96,bếp đun,40-49
97,bếp lò,43-63-83
98,bẹp lốp xe,58-98
99,bếp lửa,20-25-54
100,bị bỏng lửa,69-80
101,bị bỏng nước sôi,02
102,bị bỏng vào đùi,17-71
103,bị bỏng vào mồm,16-50-15
104,bị bỏng vào tay,17-21
105,bị con gái bắt nạt,65-07
106,bị đấm,58
107,bị đánh bằng dao,01-12
108,bị đánh bất ngờ,91-41
109,bị ghép tội,46-73-21
110,bị giật dây chuyền,65
111,bị giật đồng hồ,06-41
112,bị kẻ thù dọa,39-72
113,bị mẹ chửi rủa,83-97
114,bị mẹ chửi,16-37
115,bị phạt,51-56
116,bị tấn công,02-05
117,bị thủ tiêu,06-14
118,bị thương,03-90-63
119,bị trấn lột,84-85
120,bị vây đuổi,83-38
121,bia mộ,05-85
122,biển cạn,58-53
123,biển xanh,68-83-06
124,biển,58
125,biếu cụ,58-85
126,bộ mặt buồn,51-56
127,bố bế con gái,07-57
128,bố bế con trai,81-11-52
129,bổ củi,83
130,bỏ mặc,01-10-11-16
131,bộ mặt đẹp,22-98-39
132,bộ mặt sầu,42-61
133,bộ mặt tươi cười,41-46
134,Bố mẹ bố con,20-60-21
135,bố nuôi,60-70
136,bộ quần áo vá,06-90
137,bỏ thuốc lá,12-21
138,bơi giữa sông,89-98
139,bơi lội,83-38-63-28
140,bơi nước trong,89-39
141,bom đạn,22-62
142,bốn người khiêng quan tài,43-44-54
143,bóng bàn,15-95-49
144,bóng đá,62
145,bóng đen,58
146,bông hoa,39
147,bóng ma,72-85
148,bóng rổ,02
149,bông sen,24-74
150,bù nhìn,27-29-79
151,bữa ăn một mình,74-31-84-14-16
152,bùa giải,16-18-78
153,bụi cây,56-65
154,bùn đầm lầy,82-62
155,bùn lấy,73-37-23
156,buộc mắc dây,07-14
157,bươm bướm,26-62
158,buồn phiền,42-32
159,buồn vì chồng,01-07
160,buồn vì vợ,09-90
161,buồng cau,10-30-70-75
162,buồng chuối,70-72
163,buồng kín,41-70-72
164,cá cảnh,40
165,cá chép,58
166,cá chuối,59
167,cá chuồn,76
168,ca hát vui chơi,19-29
169,ca hát,07-57-94
170,cá lóc,68
171,cá mây chiều,28-82
172,cá nướng,48
173,cá quả,45
174,cá rô,20-40-82
175,cá sấu,89
176,cá thường,56
177,cá to nhỏ,09
178,cá trạch,85
179,cá trắm,01-41-81-43
180,cá trắng,46
181,cá trê,48
182,cá vàng,20-29
183,cá,79
184,cái bàn,95
185,cái bình,85
186,cái cân,89-86
187,cái câu,01-26-73
188,cái cày,26-75-56
189,cái chậu,94-32
190,cái chày,11-98
191,cái chén,93
192,cái chổi,85-93
193,cái chum,75-35
194,cái cù,02-32-62
195,cái dấu,25-75
196,cái ghế,49-68
197,cái giếng,92-29
198,cái kẹo,36-02
199,cái kim,84-34
200,cái kính,85
201,cái làn,84-85
202,cái mả,30-70-40-90
203,cái mai,19-91-87
204,cái mâm,18-81-86
205,cái màn xanh,14-41
206,cái màn,85-97
207,cái miệng,78
208,cái miếu,63-68
209,cái môi,00-75
210,cái mũ,28-46-86-68
211,cái muôi,71
212,cái nhà,27-77-91-41
213,cái nhẫn,81
214,cãi nhau,36-37-68
215,cái nhìn hẹp hòi,72-72
216,cái nhìn nham hiểm,61-49
217,cái nhìn tốt,27-72
218,cái nón,05-15-75
219,cái tát,06
220,cái tẩu,26-75-21
221,cái thìa,54
222,cái thuổng,94-96
223,cái tích,93
224,cái xẻng,63-64
225,cái xích,79-82
226,căn buồng bình thường,20-21-40-60
227,cần câu,26-75
228,cảnh buồn,46
229,cánh cửa cũ,44-94
230,cánh cửa mới đóng,42-43-52
231,cánh cửa,28-83
232,cánh tay lông lá,42
233,cánh tay,18-81
234,cào cào,53
235,cạo râu,83-84
236,cắt tóc nam,14-54-65-45
237,cắt tóc nữ,57-85
238,cắt tóc,82-83-85
239,cát,36-63
240,câu cá ao hồ,08-80-85
241,câu cá rô,76
242,câu được cá,83-33
243,câu được rắn,01-81
244,cầu vồng,04-40-45
245,cây cảnh trong nhà,06
246,cày cấy,09-90-89
247,cây chuối,34-84
248,cây cổ thụ,50-54
249,cây khế,07-70
250,cây không hoa,75-85
251,cây nhiều lộc,04-05
252,cây nở hoa,43-16-61
253,cây sai quả,49-73-36
254,cây to,33-66-76
255,cây xoan,49-94
256,chải chuốt,20-30-60
257,chai lọ,34-50
258,chái thìa,63
259,chai,94-86
260,chăn gối,46-47-70
261,cánh chim,01-65
262,cháo lòng,49-97
263,chấy đầy đầu,57-59
264,cháy đồ điện,77-78-79
265,cháy đống rơm,17-71-27-72
266,chảy máu,08-19-29-69
267,cháy nhà,05-43-67
268,chấy rận,79-84-02
269,chém chuột,92
270,chém nhau,17-37-77
271,chén to,94-95
272,chết đuối sống lại,00-06
273,chết đuối,07-30-84
274,chết sống lại,62-74
275,chia ly,52-57-72
276,chiến thắng,96-86
277,chim bay,67
278,chim cánh cụt,24-78
279,chim đậu,87
280,chim hòa bình,32
281,chim ỉa vào người,27
282,chim sẻ đậu,76
283,chim trời,87
284,chó cắn chảy máu,98-99
285,chó cắn đuổi,58-38
286,chó cắn,29-92-93
287,cho con xe,69-96-64
288,cho con,05-75
289,chó đẻ,51-91
290,chó đến nhà,93-98
291,chó đen,94-68
293,chờ đợi,53-64
294,chó đuổi chạy xuống ao,68
295,chỗ kín đàn ông,01-21
296,cho xe,29-79-92
297,chợ,25-52
298,chơi cờ tướng,13-31
299,chơi đá bóng,89-97
300,chơi điện tử,46-48-84
301,chơi tú lơ khơ,03-62
302,chơi xuân,19-39
303,chữ số,22-82
304,chú tiểu,36-76
305,chứa bạc,52-57-63
306,chùa,05-56-26
307,chửi chồng,07-57-17
308,chuối,15-05-95
309,chuồn chuồn,26-65
310,chuồng xí,39-67
311,chuột bạch,02-20
312,chuột cống,57-45
313,chuột đồng,15-51
314,chuyển nhà xí,09
315,chuyển nhà,14-16
316,chý mô tơ,77-79
317,cờ bạc,28-01-51
318,cô liên,47-57
319,có máu,19-69-964
320,cơ may,79-38
321,cô tiên,17-35-19-91
322,cò trắng,84-00
323,cò xanh,02-73
324,cối giã cua,92-87
325,cối giã giò,86-48
326,con bò,88
327,con cá con,24-26-72
328,con cáo,48-28
329,con chai,68
330,con chấy,92-95-98
331,con chim,56-80
332,con chó con,48-49
333,con chó nhật,76
334,con chó,29-59-95
335,con chuột nhà,17-49
336,con chuột,02-20-55
337,con cóc,04
338,con công,98-67
339,con cua,67-89
340,con dê,15-35-75
341,con dệp,82-85
342,con đĩ,01-21-26
343,con đỉa,43
344,con điên,52-08-89
345,con ếch,28-43
346,con gái mình chết,35
347,con hạc,17-57
348,con hổ,06-60-30-46
349,con khỉ,72-27
350,con lợn,76
351,con lươn,56-90
352,con mèo,18-58-89
353,con mình chết,35
354,con mọt,05-39
355,con muỗi,46
356,con nai,34-48
357,con ngỗng,08-83
358,con ngựa,12-52-72
359,con nhái,26-62
360,con nhện,33-73
361,con ở,25-65-76
362,con ốc nhồi,67
363,con ốc,65
364,con quạ,25-62-65
365,con rái cá,48-79
366,con rắn,32-42-72
367,con rệp,98
368,con rết,94
369,con rồng,10-50-90
370,con ruồi,35
371,con sò,48
372,con sóc,69-79
373,con tàu,42-82
374,con thỏ,08-48-69
375,con thuyền,33-38
376,con tim,11-31-51-71
377,con tin,85-97
378,con tôm,58
379,con trai cho vàng,43
380,con trai đầu lòng,79
381,con trăn đầy người,86-87
382,con trăn,03-63
383,con trâu,03-63-86
384,con trĩ,01-21-61-26
385,con vẹm,61-62
386,con vịt,49
387,con voi,13-53
388,công an,14-34-54
389,cổng chào,20-40-80
390,cống rãnh,04-44
391,cổng trào,40-80-20
392,cột điện,11
393,củ cà rốt,01-51
394,củ khoai,75-95
395,củ su hào,00-01-06
396,cua bể,05-46-65
397,của đàn bà,27-87-28
398,cúng chay,37-71
399,cúng người chết,74
400,cúng tổ tiên,40-46
402,cuốc xẻng,65-54
403,cưỡi ngựa,41
404,cưới vợ,70-65-69
405,cười với bản thân,21-61
406,cười với nam,09-59
407,cười với phụ nữ,07-09
408,cưỡng ép,03-38-83
409,cứt bám lên mặt,03-07
410,cứt bám ngón tay,00-05
411,cứt bê bết đi mưa,14-41
412,cứt đầy ống quần phải thay,91-92
413,cứt vứt vào nhà,63
414,cứt,63-13
415,cứu đàn ông khỏi chết đuối,54
416,cứu người rơi xuống ao,07-16-18
417,đá bóng,00-09-08-05
418,đá lửa,06-60
419,đái dầm,20-60-70
420,đám cưới,07-09-75
421,đám ma,34-35-35
422,đắm thuyền trong ao,38-54
423,đàn bà chửa,10-82
424,đàn bà ghen,09-23
425,đàn bà khỏa thân,03-32
426,đàn chó,36-63
427,đàn kiến,29
428,đàn lợn,38-49
429,đàn ông khỏa thân,15-51
430,đàn ông ăn mày,04-54
431,đàn ông chết,06-26
432,đàn ông ghen,09-12-31
433,đàn trâu,31-51
434,đánh chết người,45-85
435,đánh chết rắn,25
436,đánh cuộc,27-72
437,đánh cướp,08-84
438,đánh đĩ,57-75
439,đánh ghen,49-87
440,đánh nhau bằng kiếm,60-61
441,đánh nhau có vũ khí,03
442,đánh nhau đổ máu,00-31-34-75
443,đánh nhau ném lựu đạn,67
444,đánh nhau,03-07-59
445,đánh răng,67-47-79
446,đánh vợ,52-51-53
447,đào đất,56
448,dao găm,07-17
449,đào giếng,65
450,đào móng nhà,47-74
451,dao phay,85
452,dao xây,16-61
453,dắt bò,02-28
454,dắt trâu,29
455,dầu hỏa,17-71-16-61
456,đầu nhiều chấy,78
457,đầu trâu,51-71-91
458,đầu vú,38-39-84
459,dây chuyền vàng,08-80
460,dậy võ,56-06
461,dây xích,04-46-61
462,đe dọa,37-73-78
463,đẻ ra cá,00-01-99-94
464,đẻ ra mèo,01-23-62
465,dê,56
466,đền cổ,46-66
467,đèn ông sao,44-55
468,đèn thần,07-57-75
469,đi bộ đội,15-53
470,đi câu không được cá,23-24-12
471,đi câu,64-74-24
472,đi chơi xuân,19-39
473,đi đái dắt,98-99
474,đi đánh được cá,76-87-78
475,đi đổ cứt,15-16-61
476,đi đò dọc,73-37-32
477,đi đò,73-04-44
478,đi du lịch,87
479,đi học,17
480,đi ỉ chảy,01-06
481,đi ỉ gặp người,67-76
482,đi ỉa chảy,01-06
483,đi ỉa đông người,08-09
484,đi ỉa gặp người,67-76
485,đi ỉa,86-98
486,đi làm,01-21-26
487,đi lễ,12-21
488,đi mua giầy,56-06
489,đi phà qua sông,17-18
490,đi tắm,39-93-83
491,đi tàu,39-87-78
492,đi thi,26
493,đi thuyền,23-59-93-39
494,đi trên sông,15-05
495,đi vắng,05-20-25
496,đi về gặp mưa,08-70-07
497,đi xa đánh nhau,93-39
498,đi xa ngoại tình,23-59
499,đi xe cúp,85-57
500,đỉa bám đầy người,28-11
501,đỉa bán vào chân,29
502,đỉa cắn người,58
503,địa ngục,12-63
504,diều hâu,68-67
505,đình chùa,01-40-80
506,đôi bít tất,96-39-83
507,đôi chim bồ câu,02-22
508,đôi dép,33-81
509,đôi giày ba ta,02-03
510,đòi nợ,53-35
511,đồi núi,68-86-81
512,đôi vẹt,83-87
513,đói,13-93-59
514,đom đóm,19-59
515,dọn nhà vệ sinh,26-62
516,dông bão,08
517,đồng hồ,95-58
518,đống lửa,08-48
519,đống rơm,25-50-27
520,đóng thuyền,04-44-71-54
521,động trạm của quý của đàn bà,65-63
522,đốt lò sưởi,03-37
523,đưa tang,27-72
524,dùng lửa đốt súc vật,48
525,đứng trên mái nhà,46-64
526,được bạc,82
527,được của,53-78-80
528,được thưởng,82-32
529,được tiền chia hai,05-50
530,được tiền,08-78
531,được vàng,01-10-15-75
532,đuổi bắt,15-57-72
533,dương vật,21-12-51
534,ếch,86
535,et xăng,64-74
536,gà con,07-08
537,gà thịt rồi,28-36
538,gà trống,55-57
539,gái đẹp,38-83
540,gặp ăn xin,24-76-86
541,gặp cây đa,09-05-12
542,gặp cụ già đạo đức,41-64-62
543,gặp đàn bà,28-87
544,gặp đàn ông,26-27
545,gặp gà,33-45-57
546,gặp lợn,59-62-27
547,gặp người nhà,70-75-78
548,gặp người yêu,46-47-87
549,gặp phà,28-52-93
550,gặp tiền,01-76-67
551,giá treo cổ,84-68
552,giải thoát,84-85
553,giáo viên,52-57
554,giấy tờ ướt,26-66
555,giếng nước,29-92
556,gieo trồng,57-46
557,giết lợn,82-32
558,giết người,83-47
559,giò chả,22-43
560,giò,78-84-89
561,giông bão,08-58-53
562,giun,11-94
563,hà mã,56
564,hai anh em bế nhau,73
565,hai bàn thờ,46-96-91
566,hai bố con,32-82-98
567,hai chị em gái đánh nhau,45-57
568,hai con chó,96-94
569,hai con mèo cắn nhau,86
570,hai lần thấy mẹ,62-83-68-80
571,hai người đàn ông chết đuối,04-06
572,hai người khiêng quan tài,83-87
573,hai quan tài,26-16-36
574,hai thằng ăn cắp,26-62
575,hãm hại,84
576,hầm tối tăm,87-82-87
577,hàn bánh xe,41-46
578,hành kinh,67-68
579,hát văn,25-50-55
580,heo rừng,78
581,hiện vật,65-56
582,hiếp dâm,92-84
583,hổ,78
